doy,doy_sin,Elevation_m,Latitude,Longitude,fsca,recon_swemean,recon_swe,TB10V_TB18V,TB18V_TB36V
91,71,4229,3540,6928,89,485,574,3.893372,12.31873
91,71,4045,3540,6931,88,490,537,3.112366,16.40778
91,71,4261,3537,6929,93,498,605,4.05426,18.17755
91,71,3933,3534,6927,91,398,510,3.965363,16.98676
91,71,4215,3542,6937,86,464,492,2.400284,11.54538
91,71,4199,3540,6935,89,461,482,2.841949,16.97189
91,71,3979,3537,6932,93,503,607,3.221603,22.42938
91,71,4160,3534,6930,92,411,513,3.412628,20.39957
91,71,3372,3531,6928,92,287,440,3.435471,14.40088
91,71,4255,3542,6941,87,401,425,3.04837,12.09329
91,71,4185,3540,6938,91,473,546,3.046417,15.11253
91,71,4076,3537,6936,92,408,483,2.961304,17.71735
91,71,3822,3534,6934,92,381,519,2.479904,19.45792
91,71,3741,3531,6931,92,259,380,2.69754,10.90495
91,71,3121,3528,6929,87,0,277,2.019104,7.934494
91,71,3051,3526,6926,78,0,181,1.098862,4.528809
91,71,4252,3545,6947,80,416,408,4.820038,7.397095
91,71,4348,3542,6944,87,421,441,4.046097,12.49196
91,71,3941,3540,6942,92,390,483,3.492249,14.50203
91,71,4294,3537,6939,93,449,527,1.962387,15.18323
91,71,3914,3534,6937,93,332,422,1.666702,13.25681
91,71,3235,3531,6935,91,252,338,2.019409,8.665161
91,71,2987,3528,6932,79,0,184,1.604675,7.43396
91,71,2833,3526,6930,62,0,99,0.8060455,5.689743
91,71,2785,3523,6927,53,0,105,-0.417984,2.532211
91,71,4059,3545,6950,85,360,381,5.263046,10.42252
91,71,4211,3542,6948,90,489,561,4.634354,13.98625
91,71,3948,3540,6945,89,307,371,2.469101,15.82538
91,71,4040,3537,6943,92,410,529,1.49263,11.84904
91,71,3922,3534,6940,93,303,371,1.064835,8.55191
91,71,3741,3531,6938,90,244,335,1.142365,6.165405
91,71,3162,3528,6936,88,177,233,1.213806,5.605667
91,71,2721,3526,6933,61,0,94,0.7850647,3.592041
91,71,2411,3523,6931,33,0,40,-0.5252991,1.869049
91,71,2216,3520,6928,8,0,6,-1.827744,-1.451569
91,71,2127,3517,6926,1,0,1,-2.296448,-6.300476
91,71,4358,3545,6954,85,354,355,5.003571,13.31439
91,71,3745,3542,6951,89,343,430,4.272217,14.54231
91,71,4042,3540,6949,89,315,386,3.430298,13.19157
91,71,3376,3537,6946,81,0,260,2.403061,10.24866
91,71,3767,3534,6944,87,223,307,1.371384,7.609024
91,71,3205,3531,6941,82,151,245,1.008148,4.61348
91,71,3092,3528,6939,70,0,144,0.5793304,2.800919
91,71,2660,3526,6937,40,0,43,0.2360229,1.326553
91,71,2194,3523,6934,15,0,17,-0.8995819,0.2707672
91,71,1992,3520,6932,0,0,0,-2.422684,-0.4742126
91,71,1911,3517,6929,0,0,0,-1.94339,-4.388092
91,71,4375,3545,6957,85,406,396,3.506271,14.15816
91,71,4062,3542,6955,90,234,272,3.663589,13.30682
91,71,3851,3540,6952,89,251,317,3.248978,10.79491
91,71,3490,3537,6950,82,118,163,2.278412,9.277557
91,71,3171,3534,6947,69,155,140,1.262573,7.672272
91,71,3174,3531,6945,73,0,143,0.6394958,4.30542
91,71,2838,3528,6942,47,0,52,-0.3561554,2.440216
91,71,2367,3526,6940,19,0,12,-0.5740814,-0.06428528
91,71,1952,3523,6938,3,0,1,-1.303864,-1.079315
91,71,2039,3520,6935,0,0,0,-2.683563,-1.590027
91,71,4449,3571,6982,92,404,459,5.586761,11.07932
91,71,3860,3568,6980,89,360,334,4.669647,9.626434
91,71,4648,3548,6963,85,347,338,1.889206,14.52672
91,71,4428,3545,6960,87,352,371,1.885574,11.97733
91,71,4290,3542,6958,87,266,321,1.843979,10.5365
91,71,3429,3540,6956,89,0,186,1.783371,8.418701
91,71,3674,3537,6953,87,126,193,1.102509,6.533829
91,71,2779,3534,6951,52,0,57,-0.05166626,5.400101
91,71,2972,3531,6948,48,0,59,-0.4742126,2.597687
91,71,2581,3528,6946,33,0,13,-0.814209,0.9610443
91,71,2222,3526,6944,15,0,6,-1.500824,-0.4060669
91,71,1910,3523,6941,1,0,0,-1.724213,-1.686951
91,71,2098,3520,6939,1,0,0,-2.351746,-1.607819
91,71,4569,3576,6991,87,445,507,6.843384,12.93997
91,71,4334,3571,6986,86,452,526,4.601364,10.20341
91,71,4013,3568,6983,90,353,375,3.532211,9.187515
91,71,3640,3565,6981,93,441,469,2.322327,7.990997
91,71,4025,3562,6979,92,422,462,0.692688,7.295853
91,71,4420,3551,6969,85,372,402,0.314621,14.49176
91,71,4273,3548,6966,88,356,402,0.2358093,14.72006
91,71,4412,3545,6964,84,291,353,0.210495,11.19298
91,71,3712,3542,6961,84,202,285,-0.01393127,8.189194
91,71,3380,3540,6959,85,0,157,-0.1041107,4.519363
91,71,3125,3537,6957,70,0,112,-0.1756897,2.744751
91,71,2763,3534,6954,34,0,26,-0.3679657,2.276047
91,71,2277,3531,6952,9,0,6,-0.8422852,0.6420288
91,71,2182,3528,6949,8,0,3,-1.068359,-0.9714355
91,71,2025,3526,6947,4,0,2,-1.263489,-2.161865
91,71,2031,3523,6945,1,0,0,-1.693527,-1.609528
91,71,2229,3520,6942,5,0,3,-2.091797,-0.8872681
91,71,4546,3579,6997,82,445,522,7.994431,12.31671
91,71,4426,3576,6994,82,495,578,6.245377,13.45811
91,71,4540,3573,6992,83,456,518,4.781876,13.26106
