doy,basinSWE_amsr,basinSWE_era5
91,-99,3.3021
92,0.3276,3.3336
93,-99,3.3183
94,0.4518,3.3381
95,-99,3.3192
96,0.387,3.3354
97,0.3456,3.3795
98,0.468,3.3948
99,0.5058,3.4164
100,-99,3.4074
101,0.3627,3.4038
102,-99,3.4155
103,0.3924,3.3984
104,-99,3.411
105,0.4356,3.3876
106,0.5445,3.3858
107,-99,3.3705
108,0.4689,3.3525
109,-99,3.3075
110,0.5742,3.3039
111,-99,3.2994
112,0.7803,3.3426
113,0.9261,3.3264
114,0.9972,3.3093
115,0.5193,3.2796
116,-99,3.2814
117,0.1386,3.2481
118,-99,3.213
119,0.7902,3.1644
120,-99,3.1077
121,0.1323,3.0456
122,0.2367,2.9799
123,-99,2.9142
124,0.2385,2.8683
125,-99,2.9025
126,0.4464,2.8989
127,-99,2.8647
128,0.2844,2.853
129,0.3933,2.7918
130,0.6291,2.7432
131,0.6246,2.6847
132,-99,2.6226
133,0.468,2.5335
134,-99,2.3931
135,0.7875,2.2644
136,-99,2.142
137,0.7641,2.0241
138,0.162,1.9071
139,-99,1.7982
140,0.3249,1.7163
141,-99,1.6047
142,0.8442,1.503
143,-99,1.3959
144,0.5391001,1.3086
145,0.9819,1.233
146,0.909,1.1529
147,0.846,1.0782
148,-99,1.0044
149,0.7352999,0.9450001
150,-99,0.8874
151,0.5238,0.8307
152,-99,0.7731
153,0.6822,0.7308
154,0.423,0.6786
155,-99,0.6327
156,0.2439,0.6246
157,-99,0.6822001
158,0.4023,0.6849
159,-99,0.6804
160,0.3807,0.6444
161,0.3735,0.5958
162,0.4491,0.549
163,0.3474,0.4995
164,-99,0.4545
165,0.1989,0.4185
166,-99,0.3726
167,0.3186,0.3573
168,-99,0.3384
169,0.4329,0.3078
170,0.1566,0.2718
171,-99,0.2583
172,0.2475,0.2475
173,-99,0.2223
174,0.4185,0.1944
175,-99,0.1701
176,0.4464,0.1458
177,0.4392,0.1278
178,0.4851,0.1098
179,0.3699,0.0963
180,-99,0.0846
181,0.4581,0.0729
