doy,basinSWE_amsr,basinSWE_era5
92,0.7434,2.0484
93,-99,2.0124
94,0.504,1.9683
95,0.3546,1.9494
96,0.4653,2.1888
97,0.3645,2.2158
98,-99,2.2581
99,0.1899,2.2896
100,-99,2.313
101,0.1143,2.3382
102,-99,2.3607
103,0.5184,2.3247
104,0.3285,2.3013
105,-99,2.3139
106,0.3618,2.3634
107,-99,2.4255
108,0.4338,2.4129
109,-99,2.4057
110,0.306,2.3832
111,0.3285,2.3472
112,0.3654,2.3184
113,0.2961,2.2869
114,-99,2.2545
115,0.7884001,2.1753
116,-99,2.1159
117,0.8937,2.0493
118,-99,1.98
119,0.7128,1.9134
120,0.63,1.8567
121,-99,1.7973
122,0.7605,1.7397
123,-99,1.6902
124,0.2358,1.6497
125,-99,1.6272
126,0.6993,1.6533
127,0.7973999,1.6065
128,0.7767,1.5669
129,0.4941,1.5165
130,-99,1.4697
131,0.7884,1.4274
132,-99,1.3572
133,0.6687,1.2996
134,-99,1.2321
135,0.6012,1.1565
136,0.4797,1.0782
137,-99,1.0098
138,0.5382,0.9405
139,-99,0.8685
140,0.5103,0.7938
141,-99,0.7083
142,0.3618,0.6201
143,0.2664,0.5301
144,0.216,0.4392
145,0.1314,0.3555
146,-99,0.2844
147,0.135,0.2376
148,-99,0.2655
149,0.3015,0.2358
150,-99,0.2007
151,0.468,0.162
152,0.324,0.1386
153,-99,0.1242
154,0.09719999,0.1098
155,-99,0.099
156,0.3195,0.0864
157,-99,0.0747
158,0.2097,0.0621
159,0.1575,0.0495
160,0.1566,0.036
161,0.1503,0.0207
162,-99,0.0099
163,0.1359,0.0045
164,-99,0.0018
165,0.0693,0.0009
166,-99,0
167,0.0126,0
168,0.0459,0
169,-99,0
170,0.0612,0
171,-99,0
172,0.0468,0
173,-99,0
174,0.0198,0
175,0.0279,0
176,0.0279,0
177,0.0135,0
178,-99,0
179,0.0126,0
180,-99,0
181,0.0297,0
182,-99,0
