doy,doy_sin,Elevation_m,Latitude,Longitude,fsca,recon_swemean,recon_swe,TB10V_TB18V,TB18V_TB36V
91,71,4229,3540,6928,88,503,428,7.362488,17.29892
91,71,4045,3540,6931,89,503,429,7.180725,19.16577
91,71,4261,3537,6929,90,522,419,7.982758,19.77934
91,71,3933,3534,6927,91,421,324,7.931366,22.64752
91,71,4215,3542,6937,82,478,382,6.233307,18.0461
91,71,4199,3540,6935,88,470,414,7.071411,18.79524
91,71,3979,3537,6932,92,525,435,7.784531,19.22264
91,71,4160,3534,6930,91,430,358,8.146469,20.85228
91,71,3372,3531,6928,85,311,243,7.884171,22.32785
91,71,4255,3542,6941,85,412,333,5.944534,18.79688
91,71,4185,3540,6938,87,491,401,6.586823,20.90881
91,71,4076,3537,6936,90,423,363,7.536072,20.26324
91,71,3822,3534,6934,87,405,326,7.865234,19.67827
91,71,3741,3531,6931,84,280,214,7.608582,21.09296
91,71,3121,3528,6929,78,0,184,6.202484,20.96809
91,71,3051,3526,6926,72,0,142,4.605652,17.2549
91,71,4252,3545,6947,87,422,360,5.529907,14.49458
91,71,4348,3542,6944,86,431,367,5.51503,18.06635
91,71,3941,3540,6942,88,409,334,6.138275,20.43434
91,71,4294,3537,6939,89,467,384,6.972031,20.54379
91,71,3914,3534,6937,87,351,269,7.489456,20.96866
91,71,3235,3531,6935,81,266,226,7.32341,19.05655
91,71,2987,3528,6932,72,0,144,5.985168,19.8499
91,71,2833,3526,6930,63,0,96,4.42099,18.84984
91,71,2785,3523,6927,58,0,90,2.343903,14.49628
91,71,4059,3545,6950,80,369,309,5.142487,18.26584
91,71,4211,3542,6948,85,507,413,5.33078,17.83687
91,71,3948,3540,6945,89,322,253,5.882843,19.41505
91,71,4040,3537,6943,87,435,330,6.453232,19.75475
91,71,3922,3534,6940,86,321,234,7.027374,19.40594
91,71,3741,3531,6938,85,261,196,6.972504,18.3613
91,71,3162,3528,6936,76,184,175,5.900162,16.92543
91,71,2721,3526,6933,61,0,82,4.443985,14.17778
91,71,2411,3523,6931,33,0,37,2.456375,14.91672
91,71,2216,3520,6928,6,0,2,0.2412109,10.4673
91,71,2127,3517,6926,0,0,0,-1.236816,5.279861
91,71,4358,3545,6954,84,359,318,5.660004,19.0183
91,71,3745,3542,6951,83,359,302,5.660004,19.33066
91,71,4042,3540,6949,87,330,262,5.574081,18.97768
91,71,3376,3537,6946,81,0,166,5.692413,18.8331
91,71,3767,3534,6944,83,239,186,6.384109,18.12279
91,71,3205,3531,6941,82,164,144,6.509125,17.15965
91,71,3092,3528,6939,72,0,105,5.661041,15.72943
91,71,2660,3526,6937,40,0,36,4.496719,11.89299
91,71,2194,3523,6934,16,0,13,2.751328,9.4207
91,71,1992,3520,6932,0,0,0,0.6438599,7.868698
91,71,1911,3517,6929,0,0,0,-1.007233,4.801041
91,71,4375,3545,6957,85,404,406,5.660004,20.03929
91,71,4062,3542,6955,86,241,211,5.636139,19.55286
91,71,3851,3540,6952,86,263,220,5.275848,18.81796
91,71,3490,3537,6950,81,125,108,5.199005,17.81628
