doy,doy_sin,Elevation_m,Latitude,Longitude,fsca,recon_swemean,recon_swe,TB10V_TB18V,TB18V_TB36V
91,71,4229,3540,6928,89,470,696,6.078217,13.19778
91,71,4045,3540,6931,88,473,671,5.416382,14.7747
91,71,4261,3537,6929,90,490,674,5.55867,14.21396
91,71,3933,3534,6927,90,388,593,4.753906,13.59502
91,71,4215,3542,6937,85,446,641,3.967209,16.32838
91,71,4199,3540,6935,87,445,614,5.081711,15.69127
91,71,3979,3537,6932,87,496,670,5.629395,14.68753
91,71,4160,3534,6930,91,402,582,4.464798,13.83983
91,71,3372,3531,6928,85,276,526,4.796677,11.70888
91,71,4255,3542,6941,86,388,528,4.272263,16.67125
91,71,4185,3540,6938,87,464,617,4.367126,16.58052
91,71,4076,3537,6936,88,401,534,4.806305,16.02284
91,71,3822,3534,6934,87,378,539,4.426117,12.52118
91,71,3741,3531,6931,82,253,428,4.077393,12.22054
91,71,3121,3528,6929,73,0,374,3.9198,10.54868
91,71,3051,3526,6926,67,0,295,2.95993,6.537537
91,71,4252,3545,6947,85,396,563,4.563766,14.02692
91,71,4348,3542,6944,90,408,546,4.121323,17.38971
91,71,3941,3540,6942,87,385,524,3.958817,16.89482
91,71,4294,3537,6939,91,442,584,4.192001,14.93221
91,71,3914,3534,6937,87,327,462,4.055496,14.33929
91,71,3235,3531,6935,79,245,392,3.723373,10.59883
91,71,2987,3528,6932,63,0,267,3.068771,9.856781
91,71,2833,3526,6930,56,0,193,2.599106,6.966583
91,71,2785,3523,6927,47,0,196,1.424011,3.347168
91,71,4059,3545,6950,87,346,492,4.110184,14.76183
91,71,4211,3542,6948,90,479,638,3.778915,17.1685
91,71,3948,3540,6945,89,301,424,3.799728,17.18486
91,71,4040,3537,6943,88,408,548,3.739258,14.54688
91,71,3922,3534,6940,89,298,417,3.43927,12.42906
91,71,3741,3531,6938,83,241,356,3.180191,11.72104
91,71,3162,3528,6936,72,165,328,2.367447,8.71785
91,71,2721,3526,6933,51,0,167,1.38945,6.133972
91,71,2411,3523,6931,27,0,83,1.27742,3.064621
91,71,2216,3520,6928,7,0,21,-0.07254028,0.5744629
91,71,2127,3517,6926,2,0,4,-0.8656616,-2.339569
91,71,4358,3545,6954,87,339,474,3.341385,17.78992
91,71,3745,3542,6951,88,338,471,2.696548,17.49968
91,71,4042,3540,6949,88,309,435,3.40451,16.72482
91,71,3376,3537,6946,75,0,314,3.252991,15.30499
91,71,3767,3534,6944,84,221,330,2.996124,10.71263
91,71,3205,3531,6941,73,151,244,2.566345,8.372467
91,71,3092,3528,6939,59,0,196,1.11554,7.966125
91,71,2660,3526,6937,29,0,86,1.067963,5.500046
91,71,2194,3523,6934,7,0,18,0.4494324,3.013535
91,71,1992,3520,6932,1,0,1,-0.2334595,1.033997
91,71,1911,3517,6929,1,0,2,-0.616394,-1.840515
91,71,4375,3545,6957,89,393,492,2.698334,19.38892
91,71,4062,3542,6955,89,228,314,1.894318,18.55637
91,71,3851,3540,6952,86,246,356,1.930496,15.30315
91,71,3490,3537,6950,74,110,225,2.677582,10.2943
91,71,3171,3534,6947,61,148,207,2.246338,8.690933
91,71,3174,3531,6945,64,0,190,2.03624,4.969025
91,71,2838,3528,6942,44,0,118,0.7704926,4.202545
91,71,2367,3526,6940,14,0,39,-0.2617798,3.436676
91,71,1952,3523,6938,1,0,1,-0.04718018,2.202332
91,71,2039,3520,6935,2,0,3,-0.9477234,1.576004
91,71,4449,3571,6982,87,392,550,7.554306,22.71884
91,71,3860,3568,6980,88,330,572,7.574371,20.14294
91,71,4648,3548,6963,91,342,374,3.042496,19.69691
91,71,4428,3545,6960,88,345,423,2.048569,20.16437
91,71,4290,3542,6958,88,260,373,1.269348,17.67191
91,71,3429,3540,6956,78,0,233,1.87558,14.2169
91,71,3674,3537,6953,77,119,254,2.026123,9.034042
91,71,2779,3534,6951,45,0,103,1.612488,5.084259
91,71,2972,3531,6948,42,0,100,1.159027,2.947235
91,71,2581,3528,6946,23,0,52,0.2660065,0.8891754
91,71,2222,3526,6944,6,0,15,-0.4501648,0.4685364
91,71,1910,3523,6941,0,0,0,-1.360931,0.6055298
91,71,2098,3520,6939,4,0,9,-1.39682,1.416977
91,71,4569,3576,6991,87,434,589,6.69928,15.20078
91,71,4334,3571,6986,88,442,608,6.876144,23.10402
91,71,4013,3568,6983,90,334,532,7.02887,19.96671
91,71,3640,3565,6981,93,418,654,6.234177,20.90897
91,71,4025,3562,6979,90,404,606,5.559784,19.78581
91,71,4420,3551,6969,91,360,495,3.263962,18.56815
91,71,4273,3548,6966,89,347,472,2.485214,19.72517
91,71,4412,3545,6964,86,285,394,1.609131,19.42163
91,71,3712,3542,6961,88,195,340,0.6947479,16.72116
91,71,3380,3540,6959,69,0,186,1.865906,14.93626
91,71,3125,3537,6957,56,0,162,2.325378,6.451859
91,71,2763,3534,6954,29,0,54,1.000641,4.123993
91,71,2277,3531,6952,7,0,13,0.5509186,2.219254
91,71,2182,3528,6949,3,0,8,-0.2489014,0.9332275
91,71,2025,3526,6947,1,0,5,-0.6185455,-0.2762299
91,71,2031,3523,6945,2,0,4,-0.6518097,-0.6395874
91,71,2229,3520,6942,10,0,23,-1.445572,0.9010925
91,71,4546,3579,6997,89,438,578,7.408371,13.63622
91,71,4426,3576,6994,90,485,653,6.30661,16.80821
91,71,4540,3573,6992,90,445,602,6.165131,21.32173
91,71,4442,3571,6989,87,387,561,6.335556,21.03802
91,71,3963,3568,6987,89,294,470,6.291397,21.43568
91,71,3446,3565,6984,88,264,443,5.86264,21.27182
91,71,3970,3562,6982,90,383,579,5.032104,21.08319
91,71,4026,3559,6980,88,415,628,3.914307,18.68324
91,71,4333,3554,6975,90,417,568,3.207565,14.44572
91,71,4043,3551,6972,88,292,467,2.292236,17.0831
91,71,4300,3548,6970,87,292,449,1.823578,18.9729
91,71,3712,3545,6967,88,196,330,1.195984,18.2151
91,71,3650,3542,6965,78,0,249,0.2937775,16.30394
91,71,2913,3540,6962,43,0,96,1.990677,10.62004
91,71,2713,3537,6960,28,0,63,1.864029,5.9133
91,71,2294,3534,6958,6,0,15,0.9146729,4.240082
91,71,2333,3531,6955,7,0,20,0.3229828,4.129471
91,71,2312,3528,6953,10,0,25,0.2949066,2.385452
91,71,2240,3526,6950,11,0,32,-0.3296967,3.919281
91,71,2435,3523,6948,14,0,35,-0.2895355,3.981262
91,71,2426,3520,6946,21,0,57,-0.5129395,3.221008
91,71,2633,3517,6943,42,0,134,-1.194443,2.139435
91,71,4543,3579,7000,90,423,560,7.187012,13.77081
91,71,4291,3576,6998,88,419,580,6.349182,17.48792
91,71,4343,3573,6995,87,450,647,5.873215,22.2765
91,71,4274,3571,6993,86,339,504,5.821259,25.24417
91,71,3807,3568,6990,88,233,374,5.69281,27.41168
91,71,3370,3565,6988,83,167,316,5.348083,24.58966
91,71,3721,3562,6985,84,268,440,4.830475,22.57236
91,71,3652,3559,6983,85,294,472,3.930893,20.25418
91,71,4180,3557,6981,87,388,571,2.316528,17.43109
91,71,4365,3554,6978,87,298,456,2.386749,13.50311
91,71,3789,3551,6976,87,173,346,1.826965,12.84654
91,71,3576,3548,6973,83,169,335,1.248367,15.94421
91,71,3557,3545,6971,80,0,238,0.9844971,17.28404
91,71,3064,3542,6968,61,0,154,0.6874847,15.10081
91,71,2893,3540,6966,37,0,81,1.831039,9.677551
91,71,2449,3537,6964,10,0,18,1.426514,5.441589
91,71,2355,3534,6961,10,0,26,0.6022339,3.885834
91,71,2737,3531,6959,34,0,83,0.1399078,2.570862
91,71,2768,3528,6956,39,65,110,0.3208008,3.935059
91,71,2949,3526,6954,50,86,173,0.2136078,6.203293
91,71,2503,3523,6951,24,0,67,0.4888611,8.880096
91,71,2777,3520,6949,35,0,114,0.06056213,11.1218
91,71,2954,3517,6947,57,93,227,-0.4681702,8.944031
91,71,4590,3579,7004,88,380,509,7.24231,15.1058
91,71,4638,3576,7001,89,373,502,6.572983,16.1506
91,71,4088,3573,6999,88,358,514,5.975433,20.32539
91,71,3996,3571,6996,86,313,479,5.625717,25.04359
91,71,3502,3568,6994,85,192,282,5.280304,29.45216
91,71,3206,3565,6991,74,142,261,4.837051,30.60493
91,71,3128,3562,6989,67,0,280,4.442535,25.93939
91,71,3599,3559,6986,75,0,307,4.004852,22.53497
91,71,3356,3557,6984,78,0,350,2.811478,19.55287
91,71,3874,3554,6982,88,262,463,2.242203,14.75334
91,71,3405,3551,6979,83,0,270,1.827469,11.07735
91,71,3059,3548,6977,66,0,154,1.498489,10.43953
91,71,3041,3545,6974,50,0,93,1.972229,12.34277
91,71,2655,3542,6972,24,0,38,1.726379,12.98598
91,71,2482,3540,6969,13,0,38,1.449142,10.79378
91,71,2469,3537,6967,19,0,56,1.008179,7.024094
91,71,2516,3534,6965,25,0,73,0.4570312,3.949661
91,71,2686,3531,6962,25,0,54,-0.1437073,2.215225
91,71,3273,3528,6960,60,107,179,0.1046295,4.397964
91,71,3448,3526,6957,73,141,285,0.3948364,5.315521
91,71,3093,3523,6955,50,102,172,0.9264984,9.554153
91,71,2834,3520,6952,46,54,141,1.407883,12.98857
91,71,4518,3579,7007,90,399,546,7.2901,16.42105
91,71,4373,3576,7005,87,348,501,6.782593,18.92946
91,71,4467,3573,7002,88,362,499,6.372421,19.26195
91,71,3942,3571,7000,86,359,519,5.716034,22.85957
91,71,3547,3568,6997,84,290,408,5.656647,27.82388
91,71,3345,3565,6995,77,231,334,4.801132,30.32178
91,71,3275,3562,6992,70,187,302,3.837753,28.79378
91,71,2997,3559,6990,55,0,224,3.834534,24.8839
91,71,3105,3557,6987,54,0,181,3.033676,22.3445
91,71,3312,3554,6985,71,0,305,2.676254,20.77887
91,71,3109,3551,6983,66,0,161,2.202301,14.7999
91,71,2763,3548,6980,31,0,54,1.776718,9.705734
91,71,2476,3545,6978,14,0,24,1.785355,8.213867
91,71,2518,3542,6975,18,0,50,1.549042,10.72343
91,71,2764,3540,6973,34,112,133,1.214279,11.85564
91,71,2681,3537,6970,46,0,156,0.967514,9.992752
91,71,3215,3534,6968,58,105,202,0.3784027,8.729965
91,71,2581,3531,6966,22,74,59,-0.2052002,3.257172
91,71,2831,3528,6963,29,0,71,0.2385864,3.746704
91,71,3183,3526,6961,51,0,139,0.6055756,7.262177
91,71,3429,3523,6958,65,0,182,1.194717,8.445251
91,71,3300,3520,6956,64,100,225,1.855362,11.72792
91,71,3361,3517,6954,79,216,403,1.92775,13.92188
91,71,4677,3582,7013,89,391,504,7.961136,16.18808
91,71,4579,3579,7011,91,399,563,7.506561,17.67581
91,71,4080,3576,7008,89,366,566,7.095871,18.00798
91,71,4213,3573,7006,87,409,590,6.832184,19.62807
91,71,4186,3571,7003,89,297,463,6.322861,20.8779
91,71,3779,3568,7001,89,293,471,6.013504,22.84131
91,71,3726,3565,6998,88,308,486,5.232468,26.54944
91,71,3507,3562,6996,79,146,286,4.099167,27.33391
91,71,3095,3559,6993,44,0,111,3.716919,25.41499
91,71,2761,3557,6991,23,0,60,3.333954,23.60835
91,71,2701,3554,6988,31,0,88,3.080444,23.45871
91,71,2740,3551,6986,25,0,54,2.632904,21.7551
91,71,2668,3548,6984,14,0,38,2.537247,16.22881
91,71,3010,3545,6981,41,94,135,2.437622,12.13721
91,71,2946,3542,6979,37,72,106,2.335892,8.103653
91,71,2776,3540,6976,41,0,143,1.988846,10.59871
91,71,3311,3537,6974,63,128,226,1.26442,13.4124
91,71,3325,3534,6971,75,200,333,1.210159,14.02705
91,71,3216,3531,6969,61,0,209,0.8587036,8.997742
91,71,2537,3528,6967,12,0,25,0.9493408,3.747223
91,71,2712,3526,6964,21,0,49,1.541122,7.272034
91,71,3023,3523,6962,59,115,202,1.719131,9.350586
91,71,3288,3520,6959,78,184,386,1.943085,10.71402
91,71,3893,3517,6957,84,252,468,2.230988,12.03763
91,71,4769,3587,7022,95,350,427,7.778122,16.9749
91,71,4737,3585,7019,94,402,488,8.109024,16.4761
91,71,4561,3582,7017,93,368,506,8.049255,15.89378
91,71,4390,3579,7014,90,367,514,7.934021,17.68465
91,71,4432,3576,7012,87,384,558,7.495926,18.78426
91,71,3749,3573,7009,83,329,545,6.959061,20.53241
91,71,3813,3571,7007,86,244,450,6.8358,20.22147
91,71,3486,3568,7004,83,0,354,6.534653,19.92178
91,71,3701,3565,7002,82,0,382,5.780563,20.17027
91,71,3199,3562,6999,52,0,152,4.643723,22.22745
91,71,2901,3559,6997,29,75,76,4.31427,22.39929
91,71,2875,3557,6994,41,92,120,3.782135,22.6673
91,71,3040,3554,6992,46,124,173,4.240189,21.91324
91,71,2988,3551,6989,43,110,190,3.359009,23.41826
91,71,2801,3548,6987,34,0,118,3.282715,19.32053
91,71,3444,3545,6985,63,176,245,3.515625,15.83875
91,71,3018,3542,6982,47,0,160,3.63797,11.80487
91,71,3418,3540,6980,53,89,177,3.527618,12.55128
