doy,doy_sin,Elevation_m,Latitude,Longitude,fsca,recon_swemean,recon_swe,TB10V_TB18V,TB18V_TB36V
91,71,4026,3559,6980,89,467,215,4.033386,19.6472
91,71,4333,3554,6975,88,455,260,3.205078,18.11096
91,71,4043,3551,6972,85,327,184,3.24263,17.38167
91,71,4300,3548,6970,88,323,202,3.52066,15.85593
91,71,3712,3545,6967,82,221,131,3.263992,17.56549
91,71,3650,3542,6965,72,0,94,3.363617,17.29353
91,71,2913,3540,6962,39,0,18,3.511307,15.84895
91,71,2713,3537,6960,24,0,11,3.557434,12.19107
91,71,2294,3534,6958,4,0,1,3.786133,10.76518
91,71,2333,3531,6955,1,0,0,3.954529,9.310181
91,71,2312,3528,6953,1,0,1,3.65332,15.49307
91,71,2240,3526,6950,4,0,6,3.564728,13.48807
91,71,2435,3523,6948,4,0,3,3.651169,11.62675
91,71,2426,3520,6946,5,0,3,3.19548,10.50491
91,71,2633,3517,6943,22,0,28,2.686417,11.90694
91,71,4543,3579,7000,86,476,138,8.681198,13.7403
91,71,4291,3576,6998,89,475,132,8.365738,16.75737
91,71,4343,3573,6995,87,510,167,7.965347,19.64876
91,71,4274,3571,6993,84,387,115,7.508255,22.63126
91,71,3807,3568,6990,79,272,67,7.109421,25.27052
91,71,3370,3565,6988,65,202,35,6.260986,25.53696
91,71,3721,3562,6985,75,308,119,5.108749,23.70116
91,71,3652,3559,6983,85,337,129,4.168106,20.37451
91,71,4180,3557,6981,87,434,202,2.447632,18.37254
91,71,4365,3554,6978,89,335,154,2.348679,17.17557
91,71,3789,3551,6976,80,210,80,2.319061,14.00677
91,71,3576,3548,6973,68,204,83,2.215332,14.06833
91,71,3557,3545,6971,65,0,51,2.159088,14.70451
91,71,3064,3542,6968,44,0,22,2.002304,15.48309
91,71,2893,3540,6966,29,0,13,2.085831,16.25562
91,71,2449,3537,6964,10,0,1,2.264297,13.86925
91,71,2355,3534,6961,3,0,1,2.38739,9.644608
91,71,2737,3531,6959,12,0,11,2.789612,10.83269
91,71,2768,3528,6956,19,73,30,3.040131,14.81198
91,71,2949,3526,6954,40,102,76,2.959412,20.45064
91,71,2503,3523,6951,14,0,19,3.279282,16.19926
91,71,2777,3520,6949,19,0,23,3.356995,17.41745
91,71,2954,3517,6947,40,112,72,3.205063,17.08258
91,71,4590,3579,7004,89,430,112,8.878036,12.92769
91,71,4638,3576,7001,91,422,104,8.591278,15.8869
91,71,4088,3573,6999,86,408,116,7.97879,19.5607
91,71,3996,3571,6996,83,359,112,7.340179,25.1205
91,71,3502,3568,6994,60,224,32,7.035294,28.77278
91,71,3206,3565,6991,49,173,12,5.996063,28.24913
91,71,3128,3562,6989,47,0,34,4.69371,25.02376
