doy,basinSWE_amsr,basinSWE_era5
91,0.504,3.0168
92,-99,2.9457
93,0.4887,2.9196
94,-99,2.9142
95,0.6515999,2.9025
96,-99,2.8854
97,0.5589,2.8638
98,0.2547,2.8512
99,-99,2.9439
100,0.7208999,3.0222
101,-99,3.0249
102,0.8864999,3.0222
103,-99,3.0213
104,0.4878,3.0429
105,0.7515,3.0591
106,0.8135999,3.0528
107,0.7848,3.0483
108,-99,3.0384
109,0.6534,3.0249
110,-99,3.0078
111,0.7191,3.0087
112,-99,2.9871
113,0.8343,2.97
114,0.7812,2.9475
115,-99,2.916
116,0.6381,2.8737
117,-99,2.8314
118,0.1881,2.7783
119,-99,2.7243
120,0.5148,2.6397
121,0.7272,2.5515
122,0.7956,2.4345
123,0.8127,2.313
124,-99,2.1762
125,0.558,2.0295
126,-99,1.8513
127,0.4518,1.6695
128,-99,1.4841
129,0.5391,1.3068
130,0.5274,1.1475
131,-99,1.0071
132,0.4221,0.8892
133,-99,0.7812
134,0.3798,0.6687
135,-99,0.5616
136,0.0468,0.4635
137,0.1791,0.3798
138,0.2619,0.3096
139,0.252,0.2421
140,-99,0.1755
141,0.3501,0.1215
142,-99,0.08369999
143,0.1746,0.0567
144,-99,0.0369
145,0.306,0.0207
146,0.2781,0.0108
147,-99,0.0054
148,0.3276,0.0027
149,-99,0.0018
150,0.2556,0.0009
151,-99,0
152,0.2853,0
153,0.2412,0
154,0.144,0
155,0.2178,0
156,-99,0.0045
157,0.2178,0.0117
158,-99,0.0108
159,0.2655,0.0081
160,-99,0.0126
161,0.2511,0.0063
162,0.2322,0.0027
163,-99,0.0063
164,0.1899,0.0045
165,-99,0.0018
166,0.2907,0.0009
167,-99,0
168,0.2556,0
169,0.1926,0
170,0.1881,0
171,0.1692,0
172,-99,0
173,0.1035,0
174,-99,0
175,0.0585,0
176,-99,0
177,0.0432,0
178,0.045,0
179,-99,0
180,0.0189,0
181,-99,0
