doy,doy_sin,Elevation_m,Latitude,Longitude,fsca,recon_swemean,recon_swe,TB10V_TB18V,TB18V_TB36V
91,71,4229,3540,6928,89,486,564,9.873932,21.52985
91,71,4045,3540,6931,89,486,566,9.684067,23.05244
91,71,4261,3537,6929,88,499,602,10.1015,26.22099
91,71,3933,3534,6927,81,402,476,9.119873,28.18402
91,71,4215,3542,6937,92,457,547,8.093048,19.88652
91,71,4199,3540,6935,91,452,558,9.374252,24.30585
91,71,3979,3537,6932,81,506,584,9.710678,26.98172
91,71,4160,3534,6930,84,413,493,9.116302,27.28169
91,71,3372,3531,6928,70,305,293,8.318588,24.8891
91,71,4255,3542,6941,93,390,506,7.731537,19.2739
91,71,4185,3540,6938,88,468,581,8.488419,23.37619
91,71,4076,3537,6936,80,407,491,9.09053,30.4623
91,71,3822,3534,6934,82,391,441,8.615753,29.7681
91,71,3741,3531,6931,72,278,291,7.98996,25.38153
91,71,3121,3528,6929,39,0,174,6.387466,20.53981
91,71,3051,3526,6926,25,0,73,4.304016,9.070374
91,71,4252,3545,6947,89,401,524,7.198212,18.73431
91,71,4348,3542,6944,89,408,545,7.596191,18.94229
91,71,3941,3540,6942,85,393,460,7.624039,22.34254
91,71,4294,3537,6939,85,446,553,8.031067,24.89868
91,71,3914,3534,6937,81,337,381,7.91394,28.04492
91,71,3235,3531,6935,60,260,228,7.455505,23.94914
91,71,2987,3528,6932,22,0,79,6.01535,18.41748
91,71,2833,3526,6930,8,0,25,4.110764,12.8228
91,71,2785,3523,6927,13,0,21,1.852295,5.311707
91,71,4059,3545,6950,89,353,435,7.162354,20.76807
91,71,4211,3542,6948,85,482,613,7.505554,19.21538
91,71,3948,3540,6945,81,305,386,7.169586,24.12662
91,71,4040,3537,6943,84,414,493,7.204727,21.17149
91,71,3922,3534,6940,82,302,382,7.104065,23.97025
91,71,3741,3531,6938,70,251,272,6.778137,24.0598
91,71,3162,3528,6936,44,191,163,4.985504,17.56293
91,71,2721,3526,6933,9,0,26,2.856903,9.917419
91,71,2411,3523,6931,1,0,1,1.015717,5.070297
91,71,2216,3520,6928,0,0,0,-1.081238,2.834015
91,71,2127,3517,6926,0,0,0,-1.916595,-0.1246948
91,71,4358,3545,6954,86,343,447,8.001984,22.33884
91,71,3745,3542,6951,81,344,426,7.403046,21.17184
91,71,4042,3540,6949,79,314,391,6.243835,21.44139
91,71,3376,3537,6946,59,0,211,6.171982,19.43594
91,71,3767,3534,6944,69,231,245,5.779144,21.08572
91,71,3205,3531,6941,46,164,139,5.015533,21.54813
91,71,3092,3528,6939,31,0,75,3.354309,17.90762
91,71,2660,3526,6937,9,0,8,1.580811,11.0118
91,71,2194,3523,6934,0,0,0,1.208588,1.80954
91,71,1992,3520,6932,0,0,0,-0.04275513,-0.7499695
91,71,1911,3517,6929,0,0,0,-1.823395,-0.7173157
91,71,4375,3545,6957,89,387,544,7.179962,24.69418
91,71,4062,3542,6955,81,230,300,6.971619,22.38249
91,71,3851,3540,6952,68,253,306,4.856781,20.11264
91,71,3490,3537,6950,55,129,142,5.604355,17.13252
91,71,3171,3534,6947,38,146,122,3.801346,16.41843
91,71,3174,3531,6945,34,0,89,3.336853,16.24924
91,71,2838,3528,6942,19,0,21,2.016632,14.91637
91,71,2367,3526,6940,8,0,3,1.386627,10.29506
91,71,1952,3523,6938,1,0,0,1.566559,1.866211
91,71,2039,3520,6935,0,0,0,0.04974365,-0.1975098
91,71,4449,3571,6982,95,383,624,8.257858,25.98058
91,71,3860,3568,6980,92,339,501,7.689606,25.7619
91,71,4648,3548,6963,86,327,494,5.280807,25.42285
91,71,4428,3545,6960,82,333,517,5.233887,24.96272
91,71,4290,3542,6958,80,261,363,5.070526,25.65253
91,71,3429,3540,6956,57,0,180,4.699097,20.28957
91,71,3674,3537,6953,55,140,175,4.580246,13.33762
91,71,2779,3534,6951,13,0,30,3.464752,10.29672
91,71,2972,3531,6948,13,0,29,1.947479,10.3219
91,71,2581,3528,6946,4,0,1,1.579254,9.650742
91,71,2222,3526,6944,2,0,1,1.350922,6.678955
91,71,1910,3523,6941,0,0,0,1.205444,2.508316
91,71,2098,3520,6939,0,0,0,0.1534729,0.9865417
91,71,4569,3576,6991,89,428,637,9.81987,26.09038
91,71,4334,3571,6986,95,435,663,7.564362,25.7449
91,71,4013,3568,6983,93,336,514,6.740387,24.19617
91,71,3640,3565,6981,94,428,570,5.556488,22.7894
91,71,4025,3562,6979,95,407,581,4.806885,22.32852
91,71,4420,3551,6969,89,357,525,3.2164,26.2338
91,71,4273,3548,6966,87,343,506,3.425385,26.80646
91,71,4412,3545,6964,78,282,433,3.673569,23.80582
91,71,3712,3542,6961,80,210,287,4.154587,22.7374
91,71,3380,3540,6959,41,0,120,4.943085,17.82079
91,71,3125,3537,6957,26,0,79,4.440842,13.00558
91,71,2763,3534,6954,5,0,9,3.444458,7.628204
91,71,2277,3531,6952,1,0,1,2.315414,4.218369
91,71,2182,3528,6949,0,0,0,1.41568,4.473679
91,71,2025,3526,6947,0,0,0,1.355103,4.79924
91,71,2031,3523,6945,0,0,0,1.184143,4.689087
91,71,2229,3520,6942,1,0,0,0.7814026,5.275452
91,71,4546,3579,6997,89,431,634,11.78615,22.58864
91,71,4426,3576,6994,88,478,709,10.0932,26.00459
91,71,4540,3573,6992,89,438,661,8.779724,27.86824
91,71,4442,3571,6989,93,385,578,7.160217,27.31689
91,71,3963,3568,6987,93,295,462,5.639709,24.72404
91,71,3446,3565,6984,86,275,357,4.746933,22.33228
91,71,3970,3562,6982,95,384,567,3.664444,19.99707
91,71,4026,3559,6980,94,417,615,3.020905,18.42857
91,71,4333,3554,6975,86,414,593,1.808456,16.21355
91,71,4043,3551,6972,80,297,424,1.330811,21.09311
91,71,4300,3548,6970,82,295,424,1.650299,23.8876
91,71,3712,3545,6967,79,200,303,2.064453,21.41611
91,71,3650,3542,6965,59,0,172,3.569839,19.41626
91,71,2913,3540,6962,19,0,48,3.769333,14.57925
91,71,2713,3537,6960,6,0,11,3.157883,9.865601
91,71,2294,3534,6958,1,0,1,2.54245,7.921448
91,71,2333,3531,6955,0,0,0,2.039673,1.852356
91,71,2312,3528,6953,0,0,0,1.547913,3.053131
91,71,2240,3526,6950,1,0,1,1.049606,3.513443
91,71,2435,3523,6948,1,0,1,1.387115,4.959656
91,71,2426,3520,6946,1,0,0,1.34671,9.076675
91,71,2633,3517,6943,6,0,3,0.9481812,7.701385
91,71,4543,3579,7000,89,418,601,11.29991,22.66217
91,71,4291,3576,6998,86,414,622,9.658264,26.21902
91,71,4343,3573,6995,85,447,673,8.175781,29.08719
91,71,4274,3571,6993,89,337,519,6.822464,30.52602
91,71,3807,3568,6990,88,232,385,5.363586,25.16873
91,71,3370,3565,6988,76,176,241,3.772247,23.83318
91,71,3721,3562,6985,84,275,378,2.672791,21.798
91,71,3652,3559,6983,86,296,452,2.164108,19.17935
91,71,4180,3557,6981,87,388,566,0.9614105,16.39052
91,71,4365,3554,6978,84,297,457,0.9075623,14.49991
91,71,3789,3551,6976,74,183,266,0.4737091,14.49667
91,71,3576,3548,6973,66,177,255,1.075989,14.96545
91,71,3557,3545,6971,59,0,175,2.0401,13.24089
91,71,3064,3542,6968,26,0,61,2.708008,15.63663
91,71,2893,3540,6966,11,0,24,3.227661,13.63574
91,71,2449,3537,6964,0,0,0,2.764755,5.888672
91,71,2355,3534,6961,0,36,0,1.318283,5.538193
91,71,2737,3531,6959,3,0,3,1.320251,4.158096
91,71,2768,3528,6956,5,73,11,1.507111,3.88324
91,71,2949,3526,6954,18,102,45,1.669022,4.864838
91,71,2503,3523,6951,6,0,10,1.414337,9.228729
91,71,2777,3520,6949,4,0,2,1.601898,12.52896
