doy,basinSWE_amsr,basinSWE_era5
91,-99,2.7054
92,0.5166,2.6802
93,0.5004,2.7423
94,-99,2.8224
95,0.7344,2.8152
96,-99,2.7936
97,0.4716,2.7639
98,-99,2.7621
99,0.6336,2.7153
100,0.1548,2.6478
101,0.1845,2.6334
102,0.6588,2.5857
103,-99,2.5272
104,0.3771,2.475
105,-99,2.4282
106,0.1323,2.3679
107,-99,2.2878
108,0.1107,2.2464
109,0.3213,2.2023
110,-99,2.1285
111,0.3033,2.1465
112,-99,2.124
113,0.5751,2.1159
114,-99,2.0826
115,0.657,2.052
116,0.0522,1.998
117,0.3726,2.0205
118,0.5544,1.962
119,-99,1.917
120,0.2655,1.872
121,-99,1.836
122,0.5994,1.7721
123,-99,1.7163
124,0.0729,1.6911
125,0.0324,1.6947
126,-99,1.7451
127,0.1278,1.7298
128,-99,1.7388
129,0.3483,1.7154
130,-99,1.6884
131,0.5031,1.6479
132,0.2286,1.6002
133,0.5832,1.5588
134,0.7182,1.512
135,-99,1.4661
136,0.0243,1.4175
137,-99,1.4184
138,0.0675,1.4427
139,-99,1.4292
140,0.2718,1.4148
141,0.0216,1.3896
142,-99,1.3644
143,0.3177,1.3257
144,-99,1.2852
145,0.585,1.2438
146,-99,1.1943
147,0.6381,1.1304
148,0.7056,1.071
149,0.8532,1.0269
150,0.882,0.9675
151,-99,0.9054
152,0.612,0.8361
153,-99,0.7533
154,0.126,0.7119
155,-99,0.7083
156,0.7542,0.6948
157,0.675,0.6705
158,-99,0.6453
159,0.7335,0.6237
160,-99,0.5877
161,0.5796,0.5526
162,-99,0.5121
163,0.4203,0.4689
164,0.3681,0.4257
165,0.189,0.3834
166,0.1116,0.3573
167,-99,0.3213
168,0.4338,0.2853
169,-99,0.2394
170,0.5238,0.2007
171,-99,0.1674
172,0.3249,0.1449
173,0.3303,0.1251
174,-99,0.1098
175,0.1368,0.0981
176,-99,0.0846
177,0.3393,0.072
178,-99,0.0585
179,0.3249,0.0468
180,0.2331,0.0351
181,0.2754,0.0216
