doy,basinSWE_amsr,basinSWE_era5
91,-99,2.9466
92,0.5958,2.9538
93,-99,3.0321
94,0.7731,3.033
95,-99,3.0258
96,0.4743,3.0366
97,0.486,3.0519
98,0.5805,3.0168
99,0.5949,2.979
100,-99,2.9322
101,0.702,2.8755
102,-99,2.8107
103,0.4689,2.7477
104,-99,2.6802
105,0.1368,2.7108
106,0.4671,2.871
107,-99,2.8413
108,0.2646,2.8179
109,-99,2.8863
110,0.5184,2.9088
111,-99,2.9016
112,0.2979,2.8764
113,0.0612,2.8206
114,0.2052,2.7576
115,0.4725,2.8269
116,-99,2.7711
117,0.9162,2.7162
118,-99,2.6802
119,0.7722,2.6253
120,-99,2.5227
121,0.7731,2.4417
122,0.9279,2.448
123,-99,2.4687
124,1.0953,2.475
125,-99,2.466
126,0.9747,2.4507
127,-99,2.4264
128,0.7119,2.3859
129,0.3267,2.3301
130,0.7362,2.3121
131,0.3384,2.2212
132,-99,2.169
133,0.6156,2.169
134,-99,2.1258
135,0.8226,2.1258
136,-99,2.0889
137,0.8424,2.0448
138,0.7092,1.9953
139,-99,1.9314
140,0.4887,1.8531
141,-99,1.7685
142,0.4176,1.6749
143,-99,1.5921
144,0.3987,1.5048
145,0.117,1.4481
146,0.3285,1.4301
147,0.4653,1.422
148,-99,1.4202
149,0.2196,1.3734
150,-99,1.3509
151,0.2097,1.3014
152,-99,1.2456
153,0.4725,1.1817
154,0.7370999,1.1133
155,-99,1.0323
156,0.6372,0.9603
157,-99,0.8847
158,0.576,0.8019
159,-99,0.7083
160,0.4743,0.6183
161,0.4257,0.5463
162,0.5292,0.4833
163,0.5445,0.4212
164,-99,0.369
165,0.3555,0.3141
166,-99,0.2502
167,0.3357,0.1935
168,-99,0.1431
169,0.1287,0.1107
170,0.1359,0.07470001
171,-99,0.0495
172,0.0954,0.0342
173,-99,0.0198
174,0.2007,0.0117
175,-99,0.0054
176,0.1197,0.0027
177,0.1224,0.0009
178,0.1575,0
179,0.1629,0
180,-99,0
181,0.2025,0
