doy,doy_sin,Elevation_m,Latitude,Longitude,fsca,recon_swemean,recon_swe,TB10V_TB18V,TB18V_TB36V
92,71,4229,3540,6928,75,519,300,11.11938,22.151
92,71,4045,3540,6931,74,519,302,11.02332,21.37416
92,71,4261,3537,6929,83,534,322,10.97487,24.56833
92,71,3933,3534,6927,76,431,248,10.09013,22.11861
92,71,4215,3542,6937,76,492,267,9.707657,20.35817
92,71,4199,3540,6935,77,489,263,11.12032,20.18869
92,71,3979,3537,6932,77,537,336,10.61182,22.03859
92,71,4160,3534,6930,80,444,245,9.711548,24.93773
92,71,3372,3531,6928,55,323,147,9.133179,20.9921
92,71,4255,3542,6941,76,426,218,9.039368,21.01297
92,71,4185,3540,6938,76,505,286,10.15657,19.75891
92,71,4076,3537,6936,73,438,243,9.996536,19.9577
92,71,3822,3534,6934,72,417,235,9.176407,21.36247
92,71,3741,3531,6931,61,288,153,8.460434,22.84958
92,71,3121,3528,6929,43,0,130,6.713715,18.85756
92,71,3051,3526,6926,29,0,79,4.630646,9.515549
92,71,4252,3545,6947,75,440,217,8.689102,18.48584
92,71,4348,3542,6944,76,448,226,8.565491,20.14694
92,71,3941,3540,6942,75,423,216,9.145493,21.63872
92,71,4294,3537,6939,75,482,265,8.59346,21.52917
92,71,3914,3534,6937,73,360,196,7.990097,18.71991
92,71,3235,3531,6935,57,278,133,7.776703,17.93695
92,71,2987,3528,6932,34,0,81,6.003937,16.29245
92,71,2833,3526,6930,16,0,44,4.594452,13.7619
92,71,2785,3523,6927,16,0,39,3.064545,2.929565
92,71,4059,3545,6950,76,382,201,8.6353,19.65596
92,71,4211,3542,6948,76,521,302,8.440659,20.97421
92,71,3948,3540,6945,73,334,160,8.11586,18.66927
92,71,4040,3537,6943,73,445,252,7.488907,19.95346
92,71,3922,3534,6940,72,328,175,6.332535,19.4884
92,71,3741,3531,6938,61,268,143,6.128479,16.69164
92,71,3162,3528,6936,38,197,114,5.256165,11.18857
92,71,2721,3526,6933,15,0,35,3.976105,5.371613
92,71,2411,3523,6931,2,0,4,2.776367,5.814224
92,71,2216,3520,6928,1,0,2,-0.3043518,1.381287
92,71,2127,3517,6926,0,0,0,-0.9526672,-0.9203491
92,71,4358,3545,6954,78,376,180,8.296051,20.05917
92,71,3745,3542,6951,73,372,199,7.2883,20.82394
92,71,4042,3540,6949,71,340,188,7.13588,18.15375
92,71,3376,3537,6946,58,0,110,6.490753,17.66135
92,71,3767,3534,6944,62,246,130,5.276474,13.97404
92,71,3205,3531,6941,49,172,79,4.467834,14.27884
92,71,3092,3528,6939,26,0,53,3.566406,11.52444
92,71,2660,3526,6937,5,0,11,3.250595,3.717514
