doy,basinSWE_amsr,basinSWE_era5
91,0.5139,2.25
92,-99,2.2644
93,0.5733,2.2509
94,-99,2.2779
95,0.6615,2.3022
96,0.6507,2.2941
97,-99,2.2824
98,0.342,2.2653
99,-99,2.2563
100,0.3105,2.3247
101,-99,2.4615
102,0.5337,2.4507
103,0.4995,2.43
104,0.3015,2.4021
105,0.3519,2.3661
106,-99,2.448
107,0.4878,2.4534
108,-99,2.4291
109,0.7389,2.4093
110,-99,2.3823
111,0.7884001,2.3535
112,0.7668,2.3148
113,-99,2.2635
114,0.6894,2.1978
115,-99,2.1249
116,0.5571,2.0484
117,-99,1.9701
118,0.1026,1.9026
119,0.3969,1.899
120,0.6624,1.8531
121,0.5823,1.809
122,-99,1.773
123,0.4347,1.7262
124,-99,1.6596
125,0.1926,1.5984
126,-99,1.6209
127,0.4014,1.5921
128,0.3222,1.5588
129,-99,1.5174
130,0.1008,1.4616
131,-99,1.431
132,0.6201,1.3788
133,-99,1.3419
134,0.5625,1.3104
135,0.4644,1.26
136,0.4059,1.2006
137,0.2313,1.1358
138,-99,1.0665
139,0.2682,0.99
140,-99,0.9153
141,0.4176,0.8469
142,-99,0.7857
143,0.2916,0.7182
144,0.2871,0.6417
145,-99,0.5571
146,0.153,0.4805999
147,-99,0.4131
148,-99,0.3474
149,-99,0.2952
150,0.2277,0.2439
151,0.2097,0.2016
152,0.2925,0.1845
153,0.2961,0.1656
154,-99,0.1521
155,0.225,0.1431
156,-99,0.1332
157,0.171,0.1242
158,-99,0.1152
159,0.1368,0.1062
160,0.1071,0.0963
161,-99,0.0864
162,0.036,0.07650001
163,-99,0.0648
164,0.08189999,0.0531
165,-99,0.0414
166,0.07829999,0.0306
167,0.0135,0.0189
168,0.0342,0.0099
169,0.036,0.0045
170,-99,0.0018
171,0.0396,0.0009
172,-99,0
173,0.0081,0
174,-99,0
175,0.0081,0
176,0,0
177,-99,0
178,0.0036,0
179,-99,0
180,0.018,0
181,-99,0
