doy,doy_sin,Elevation_m,Latitude,Longitude,fsca,recon_swemean,recon_swe,TB10V_TB18V,TB18V_TB36V
91,71,4229,3540,6928,92,477,638,12.30783,23.6532
91,71,4045,3540,6931,91,475,658,12.22607,24.2392
91,71,4261,3537,6929,93,489,681,12.94061,25.01741
91,71,3933,3534,6927,88,390,573,12.69452,27.99408
91,71,4215,3542,6937,90,448,620,10.34796,24.96399
91,71,4199,3540,6935,93,440,652,11.85965,25.50018
91,71,3979,3537,6932,89,491,709,12.53284,26.82932
91,71,4160,3534,6930,85,402,585,12.31241,28.4249
91,71,3372,3531,6928,82,293,389,11.62276,29.81206
91,71,4255,3542,6941,92,384,560,10.18153,24.40704
91,71,4185,3540,6938,91,457,675,11.08426,25.69891
91,71,4076,3537,6936,90,393,602,11.86017,27.6713
91,71,3822,3534,6934,83,376,556,11.63672,30.01021
91,71,3741,3531,6931,84,260,371,10.99445,31.39926
91,71,3121,3528,6929,79,0,259,8.918381,27.23528
91,71,3051,3526,6926,72,0,158,6.718567,25.79858
91,71,4252,3545,6947,93,397,561,9.263824,23.21858
91,71,4348,3542,6944,92,402,595,9.944717,24.8123
91,71,3941,3540,6942,89,378,576,10.4039,25.54832
91,71,4294,3537,6939,92,435,638,10.77838,27.0332
91,71,3914,3534,6937,87,322,501,10.69939,28.74892
91,71,3235,3531,6935,84,251,349,10.20132,28.8837
91,71,2987,3528,6932,71,0,166,8.447968,26.86171
91,71,2833,3526,6930,58,0,96,6.305359,22.61525
91,71,2785,3523,6927,52,0,86,3.938553,20.6994
91,71,4059,3545,6950,89,341,534,9.289307,23.52562
91,71,4211,3542,6948,90,474,680,9.553665,25.10468
91,71,3948,3540,6945,87,296,465,10.20142,25.67017
91,71,4040,3537,6943,87,401,598,9.977661,25.17667
91,71,3922,3534,6940,82,294,448,9.620636,25.79088
91,71,3741,3531,6938,84,242,344,9.152771,25.85931
91,71,3162,3528,6936,79,174,258,7.768951,25.94106
91,71,2721,3526,6933,52,0,76,6.040985,24.04697
91,71,2411,3523,6931,23,0,23,3.944885,15.30664
91,71,2216,3520,6928,3,0,2,1.492218,11.05151
91,71,2127,3517,6926,0,0,0,0.007873535,8.097351
91,71,4358,3545,6954,92,334,517,9.227448,23.42499
91,71,3745,3542,6951,89,333,512,9.245636,23.89638
91,71,4042,3540,6949,87,305,465,9.570053,24.45413
91,71,3376,3537,6946,77,0,321,9.377533,24.57822
91,71,3767,3534,6944,77,220,337,8.665344,24.5264
91,71,3205,3531,6941,71,153,230,8.086914,24.13153
91,71,3092,3528,6939,60,0,144,6.830139,22.90398
91,71,2660,3526,6937,27,0,31,5.469421,20.13953
91,71,2194,3523,6934,9,0,8,3.916229,14.51389
91,71,1992,3520,6932,0,0,0,1.924133,7.277557
91,71,1911,3517,6929,0,0,0,-0.06134033,1.320953
91,71,4375,3545,6957,94,384,567,8.392303,25.34998
91,71,4062,3542,6955,88,222,367,8.365845,23.68001
91,71,3851,3540,6952,86,245,368,8.2724,22.74155
91,71,3490,3537,6950,76,112,212,8.265305,21.7415
91,71,3171,3534,6947,58,140,156,7.510345,21.35986
91,71,3174,3531,6945,61,0,142,6.995575,19.254
91,71,2838,3528,6942,35,0,47,6.041046,15.64426
91,71,2367,3526,6940,7,0,6,4.727661,14.37956
91,71,1952,3523,6938,0,0,0,3.665253,11.37561
91,71,2039,3520,6935,0,0,0,2.128082,7.472534
91,71,4449,3571,6982,96,396,519,10.84309,21.74947
91,71,3860,3568,6980,94,338,512,10.35126,24.06633
91,71,4648,3548,6963,95,332,453,7.655075,25.64827
91,71,4428,3545,6960,90,337,491,7.344864,26.74141
91,71,4290,3542,6958,86,256,405,7.22168,25.0574
91,71,3429,3540,6956,78,0,208,7.038437,22.44781
91,71,3674,3537,6953,78,127,198,6.8685,19.55077
91,71,2779,3534,6951,40,0,47,6.383835,17.96213
91,71,2972,3531,6948,37,0,47,5.740601,17.35626
91,71,2581,3528,6946,7,0,4,5.422394,12.52036
91,71,2222,3526,6944,1,0,0,4.482224,10.23305
91,71,1910,3523,6941,0,0,0,3.381973,7.730759
91,71,2098,3520,6939,0,0,0,2.327637,6.881042
91,71,4569,3576,6991,96,431,616,10.91554,18.38147
91,71,4334,3571,6986,96,442,609,10.13179,22.22482
91,71,4013,3568,6983,94,339,490,9.547791,24.92155
91,71,3640,3565,6981,95,427,577,8.85611,27.24405
91,71,4025,3562,6979,96,408,575,8.115921,28.33369
91,71,4420,3551,6969,94,353,549,6.860962,24.90512
91,71,4273,3548,6966,92,342,511,6.626297,24.1916
91,71,4412,3545,6964,88,284,400,6.446899,25.22803
91,71,3712,3542,6961,83,200,300,6.093567,25.00443
91,71,3380,3540,6959,62,0,127,5.819183,22.73976
