doy,doy_sin,Elevation_m,Latitude,Longitude,fsca,recon_swemean,recon_swe,TB10V_TB18V,TB18V_TB36V
92,71,4229,3540,6928,75,517,323,7.691315,23.26794
92,71,4045,3540,6931,75,514,341,7.581955,22.38437
92,71,4261,3537,6929,74,535,310,7.785736,22.97176
92,71,3933,3534,6927,70,443,184,7.563736,21.45662
92,71,4215,3542,6937,78,482,353,6.945923,22.85641
92,71,4199,3540,6935,81,482,320,7.510223,23.37178
92,71,3979,3537,6932,74,544,286,7.9487,21.70976
92,71,4160,3534,6930,71,449,209,7.620728,21.1635
92,71,3372,3531,6928,49,333,70,7.630798,17.32974
92,71,4255,3542,6941,76,416,298,6.728088,20.51015
92,71,4185,3540,6938,74,504,298,6.758194,24.68437
92,71,4076,3537,6936,75,440,225,7.762512,21.42615
92,71,3822,3534,6934,68,427,154,7.3564,18.27843
92,71,3741,3531,6931,54,296,72,7.515015,14.48419
92,71,3121,3528,6929,24,218,35,7.027359,11.84123
92,71,3051,3526,6926,9,138,10,5.914505,0.476059
92,71,4252,3545,6947,75,428,308,5.965225,14.81738
92,71,4348,3542,6944,74,438,307,6.475159,17.77628
92,71,3941,3540,6942,69,422,228,6.444748,21.13239
92,71,4294,3537,6939,71,482,263,6.608597,24.38774
92,71,3914,3534,6937,66,367,138,7.046936,18.38614
92,71,3235,3531,6935,45,283,69,7.207306,10.51929
92,71,2987,3528,6932,10,0,13,6.093719,8.041626
92,71,2833,3526,6930,1,0,1,4.680389,4.883636
92,71,2785,3523,6927,0,0,0,2.936096,-1.509338
92,71,4059,3545,6950,73,379,227,5.952103,19.81627
92,71,4211,3542,6948,73,521,305,6.19223,20.40717
92,71,3948,3540,6945,64,334,160,5.443756,18.09637
92,71,4040,3537,6943,66,450,205,5.29184,18.81532
92,71,3922,3534,6940,63,336,112,6.298019,16.92033
92,71,3741,3531,6938,54,278,68,5.936417,13.68524
92,71,3162,3528,6936,30,205,37,4.435593,6.832092
92,71,2721,3526,6933,3,0,3,4.004211,1.868744
92,71,2411,3523,6931,0,0,0,2.654907,-1.427002
92,71,2216,3520,6928,0,0,0,1.058624,-2.44104
92,71,2127,3517,6926,0,0,0,-1.097717,-0.9910583
92,71,4358,3545,6954,79,366,260,4.854675,18.73541
92,71,3745,3542,6951,66,375,178,5.262604,23.10461
92,71,4042,3540,6949,63,344,153,4.664719,20.34283
92,71,3376,3537,6946,43,226,71,3.745163,17.32487
92,71,3767,3534,6944,48,256,60,5.07016,10.00092
92,71,3205,3531,6941,31,180,25,4.577591,8.477432
92,71,3092,3528,6939,13,0,14,3.561707,9.167877
92,71,2660,3526,6937,1,0,1,2.875397,3.603958
92,71,2194,3523,6934,0,0,0,1.820435,-0.4578857
92,71,1992,3520,6932,0,0,0,0.7967834,-2.930023
92,71,1911,3517,6929,0,0,0,-0.4495239,-2.405396
92,71,4375,3545,6957,85,414,332,4.390381,21.4325
92,71,4062,3542,6955,66,251,130,4.408447,19.46623
92,71,3851,3540,6952,56,278,107,4.302216,17.45042
92,71,3490,3537,6950,41,137,39,3.203873,14.85126
92,71,3171,3534,6947,24,167,28,3.20874,8.437866
92,71,3174,3531,6945,18,121,16,3.227493,3.467331
92,71,2838,3528,6942,6,0,7,2.777679,1.434967
92,71,2367,3526,6940,1,0,1,1.697906,2.991333
92,71,1952,3523,6938,0,0,0,0.8360901,-0.2876587
92,71,2039,3520,6935,0,0,0,0.3294373,-2.292053
92,71,4449,3571,6982,90,421,322,7.590836,27.02058
92,71,3860,3568,6980,78,371,244,7.821411,26.70825
92,71,4648,3548,6963,81,352,298,3.925262,32.06956
92,71,4428,3545,6960,76,365,266,3.704636,27.08293
92,71,4290,3542,6958,64,289,141,3.476028,18.47215
92,71,3429,3540,6956,39,159,39,3.314102,9.057007
92,71,3674,3537,6953,41,149,49,2.576279,9.893707
92,71,2779,3534,6951,8,0,8,1.687668,6.983856
92,71,2972,3531,6948,5,0,6,1.615982,2.541489
92,71,2581,3528,6946,3,0,4,1.879913,-1.754822
92,71,2222,3526,6944,0,0,0,1.532257,-2.539734
92,71,1910,3523,6941,0,0,0,1.327637,-3.538422
92,71,2098,3520,6939,0,0,0,1.163147,-3.468414
92,71,4569,3576,6991,90,464,356,9.336975,27.19426
92,71,4334,3571,6986,89,471,372,7.085281,27.73999
