doy,basinSWE_amsr,basinSWE_era5
91,-99,3.0132
92,0.8847,2.9925
93,-99,2.9682
94,0.3096,2.9376
95,0.2961,2.9601
96,-99,2.9862
97,0.8136,2.9925
98,-99,2.9871
99,0.9341999,3.0024
100,-99,2.9988
101,0.7767,2.9952
102,0.4815,2.9934
103,0.3384,3.0294
104,0.567,3.0519
105,-99,3.0447
106,0.9117,3.0339
107,-99,3.024
108,0.9072,3.0123
109,-99,3.0033
110,0.7578,3.0132
111,0.8451,3.0033
112,-99,2.9916
113,0.4302,2.9808
114,-99,2.9664
115,0.4905,2.979
116,-99,3.1842
117,0.4356,3.2256
118,0.4311,3.1986
119,0.5688,3.1626
120,0.6534,3.1095
121,-99,3.0375
122,0.3879,2.9907
123,-99,2.961
124,0.2034,2.9043
125,-99,2.8161
126,0.9531,2.6964
127,0.36,2.5641
128,-99,2.5695
129,0.8478,2.5281
130,-99,2.4768
131,0.8532,2.4075
132,-99,2.3292
133,0.7731,2.2491
134,0.675,2.1753
135,0.5598,2.0835
136,0.855,1.9782
137,-99,1.8738
138,0.8604,1.7784
139,-99,1.701
140,1.1106,1.6416
141,-99,1.5885
142,0.4887,1.5525
143,0.756,1.5831
144,-99,1.5624
145,0.837,1.5975
146,-99,1.6056
147,0.1809,1.5714
148,-99,1.5507
149,0.1008,1.5228
150,0.2061,1.5246
151,0.4239,1.5111
152,0.6318,1.467
153,-99,1.4238
154,0.4221,1.377
155,-99,1.3338
156,0.378,1.2987
157,-99,1.2573
158,0.6993,1.2015
159,0.5858999,1.1475
160,-99,1.0899
161,0.4689,1.0332
162,-99,1.0782
163,0.3024,1.0818
164,-99,1.0692
165,0.4095,1.0341
166,0.36,0.9819
167,0.2385,0.9198
168,0.4707,0.8451
169,-99,0.7632
170,0.6138,0.6786
171,-99,0.5967
172,0.4545,0.5265
173,-99,0.4608
174,0.4014,0.3996
175,0.3015,0.333
176,-99,0.2619
177,0.3132,0.1962
178,-99,0.1314
179,0.0666,0.06569999
180,-99,0.0297
181,0.1998,0.0126
